"Hoger onderwijs; ingeschrevenen, studierichting, leeftijd"
"Onderwerpen";"Ingeschrevenen";"Ingeschrevenen";"Ingeschrevenen";"Ingeschrevenen";"Ingeschrevenen";"Ingeschrevenen"
"Geslacht";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen"
"Opleidingsvorm";"Voltijd";"Voltijd";"Voltijd";"Voltijd";"Voltijd";"Voltijd"
"Onderwijssoort";"Hoger beroepsonderwijs";"Hoger beroepsonderwijs";"Hoger beroepsonderwijs";"Hoger beroepsonderwijs";"Hoger beroepsonderwijs";"Hoger beroepsonderwijs"
"Perioden";"2010/'11";"2011/'12";"2012/'13";"2013/'14";"2014/'15";"2015/'16*"
"Studierichting";"48 Informatica";"48 Informatica";"48 Informatica";"48 Informatica";"48 Informatica";"48 Informatica"
"Leeftijd";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden";"Totaal leeftijden"
"Waarde eenheid";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Waarde";"19188";"20449";"21498";"23509";"25128";"-"
